id,Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison,Days to Return,Recidivism Type,New Offense Classification,New Offense Type,New Offense Sub Type,Target Population,Race,Ethnicity
0,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,433.0,New,C Felony,Drug,Trafficking,Yes,Black , Non-Hispanic
1,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,453.0,Tech,,,,No,White , Non-Hispanic
2,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,832.0,Tech,,,,Yes,White , Non-Hispanic
3,2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Other,Other Criminal,No,,No Recidivism,,,,Yes,White , Non-Hispanic
4,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,116.0,Tech,,,,No,Black , Non-Hispanic
5,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
6,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
7,2010,2013,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,84.0,Tech,,,,Yes,Black , Non-Hispanic
8,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
9,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Other Violent,Yes,274.0,Tech,,,,Yes,Black , Non-Hispanic
10,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,165.0,New,D Felony,Drug,Other Drug,Yes,White , Non-Hispanic
11,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,249.0,Tech,,,,Yes,White , Non-Hispanic
12,2010,2013,8JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,1001.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes,Black , Non-Hispanic
13,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No,White , Non-Hispanic
14,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No,White , Non-Hispanic
15,2010,2013,1JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
16,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Public Order,OWI,Yes,763.0,New,Serious Misdemeanor,Violent,Assault,No,White , Non-Hispanic
17,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,Yes,598.0,Tech,,,,Yes,White , Non-Hispanic
18,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,C Felony,Violent,Sex,No,,No Recidivism,,,,No,Black , Non-Hispanic
19,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,Black , Non-Hispanic
20,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,Black , Non-Hispanic
21,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes,White , Non-Hispanic
22,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes,White , Non-Hispanic
23,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
24,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
25,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
26,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
27,2010,2013,6JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes,399.0,New,D Felony,Drug,Trafficking,Yes,White , Non-Hispanic
28,2010,2013,1JD,Parole,Black - Non-Hispanic,Under 25,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
29,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
30,2010,2013,1JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes,American Indian or Alaska Native , Non-Hispanic
31,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,497.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,White , Non-Hispanic
32,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,147.0,Tech,,,,Yes,White , Non-Hispanic
33,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,Yes,263.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes,White , Non-Hispanic
34,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
35,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
36,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
37,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
38,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
39,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
40,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
41,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
42,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,467.0,New,D Felony,Property,Burglary,No,White , Non-Hispanic
43,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,160.0,Tech,,,,Yes,Black , Non-Hispanic
44,2010,2013,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
45,2010,2013,1JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
46,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,Yes,White , Non-Hispanic
47,2010,2013,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
48,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,314.0,Tech,,,,Yes,White , Non-Hispanic
49,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,,No Recidivism,,,,Yes,White , Non-Hispanic
50,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,,No Recidivism,,,,Yes,White , Non-Hispanic
51,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Hispanic
52,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Female,Felony - Enhanced,Drug,Trafficking,Yes,898.0,New,Aggravated Misdemeanor,Violent,Assault,Yes,White , Non-Hispanic
53,2010,2013,NSD,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,No,American Indian or Alaska Native , Non-Hispanic
54,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,212.0,New,Serious Misdemeanor,Violent,Assault,No,White , Non-Hispanic
55,2010,2013,NSD,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Female,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No,American Indian or Alaska Native , Non-Hispanic
56,2010,2013,6JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,Yes,166.0,Tech,,,,Yes,White , Non-Hispanic
57,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,653.0,New,D Felony,Property,Forgery/Fraud,Yes,White , Non-Hispanic
58,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
59,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
60,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No,White , Non-Hispanic
61,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No,White , Non-Hispanic
62,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No,White , Non-Hispanic
63,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,582.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,White , Non-Hispanic
64,2010,2013,NSD,Discharged – End of Sentence,American Indian or Alaska Native - Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,American Indian or Alaska Native , Hispanic
65,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
66,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
67,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
68,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Female,B Felony,Other,Other Criminal,Yes,629.0,Tech,,,,Yes,White , Non-Hispanic
69,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,796.0,New,Aggravated Misdemeanor,Property,Theft,Yes,Black , Non-Hispanic
70,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,272.0,New,Aggravated Misdemeanor,Public Order,Traffic,No,White , Non-Hispanic
71,2010,2013,NSD,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Vandalism,No,,No Recidivism,,,,No,Asian or Pacific Islander , Non-Hispanic
72,2010,2013,2JD,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,Yes,455.0,New,Aggravated Misdemeanor,Violent,Assault,Yes,Black , Non-Hispanic
73,2010,2013,8JD,Parole,White - Hispanic,35-44,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,Yes,White , Hispanic
74,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
75,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
76,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
77,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
78,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
79,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Female,B Felony,Violent,Sex,No,,No Recidivism,,,,No,White , Non-Hispanic
80,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
81,2010,2013,1JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Other Drug,No,,No Recidivism,,,,Yes,White , Non-Hispanic
82,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Violent,Other Violent,No,,No Recidivism,,,,No,Black , Non-Hispanic
83,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,,No Recidivism,,,,Yes,White , Non-Hispanic
84,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes,White , Non-Hispanic
85,2010,2013,3JD,Parole,White - Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,193.0,Tech,,,,Yes,White , Hispanic
86,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
87,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
88,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
89,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
